Case_ID,Ground_Truth_Decision,Baseline_Decision,Decision_Match,Ground_Truth_Quantity,Baseline_Quantity,Quantity_Match,Baseline_Confidence,Baseline_Reason
C001,Y,Y,True,High,High,True,High,"Baseline rule: price=low, demand=increasing, inventory_age=0"
C002,Y,Y,True,Medium,Medium,True,Medium,"Baseline rule: price=normal, demand=stable, inventory_age=1"
C003,Y,Y,True,Medium,High,False,High,"Baseline rule: price=low, demand=increasing, inventory_age=0"
C004,N,N,True,None,None,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=2"
C005,Y,Y,True,Low,Medium,False,Medium,"Baseline rule: price=low, demand=stable, inventory_age=1"
C006,N,N,True,None,None,True,High,"Baseline rule: price=low, demand=decreasing, inventory_age=2"
C007,Y,Y,True,Medium,Medium,True,Medium,"Baseline rule: price=low, demand=stable, inventory_age=1"
C008,Y,Y,True,High,High,True,High,"Baseline rule: price=low, demand=increasing, inventory_age=0"
C009,N,N,True,None,None,True,Medium,"Baseline rule: price=low, demand=stable, inventory_age=2"
C010,Y,Y,True,Low,Low,True,High,"Baseline rule: price=low, demand=decreasing, inventory_age=1"
C011,Y,Y,True,Medium,Medium,True,Medium,"Baseline rule: price=low, demand=stable, inventory_age=1"
C012,Y,Y,True,Medium,Medium,True,Medium,"Baseline rule: price=low, demand=stable, inventory_age=1"
C013,Y,Y,True,Medium,Medium,True,Medium,"Baseline rule: price=low, demand=stable, inventory_age=1"
C014,Y,Y,True,Medium,High,False,High,"Baseline rule: price=low, demand=increasing, inventory_age=0"
C015,Y,Y,True,Low,Medium,False,Medium,"Baseline rule: price=low, demand=stable, inventory_age=1"
C016,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C017,Y,Y,True,Medium,High,False,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C018,Y,Y,True,Medium,High,False,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C019,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C020,Y,Y,True,Medium,Low,False,Medium,"Baseline rule: price=normal, demand=increasing, inventory_age=1"
C021,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C022,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C023,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C024,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C025,Y,Y,True,Medium,High,False,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
C026,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=1"
C027,Y,Y,True,High,High,True,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=1"
C028,Y,Y,True,Medium,High,False,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=1"
C029,Y,Y,True,Medium,High,False,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=1"
C030,Y,Y,True,Low,High,False,Medium,"Baseline rule: price=high, demand=increasing, inventory_age=0"
