Case_ID,GT_Decision,Baseline_Decision,Gemini_Decision,Hybrid_Decision,GT_Quantity,Baseline_Quantity,Gemini_Quantity,Hybrid_Quantity
C001,Y,Y,Y,Y,High,High,High,High
C002,Y,Y,Y,Y,Medium,Medium,Medium,Medium
C003,Y,Y,Y,Y,Medium,High,Medium,Medium
C004,N,N,N,N,None,None,None,None
C005,Y,Y,Y,Y,Low,Medium,Medium,Low
C006,N,N,N,N,None,None,None,None
C007,Y,Y,Y,Y,Medium,Medium,Medium,Medium
C008,Y,Y,Y,Y,High,High,High,High
C009,N,N,N,N,None,None,None,None
C010,Y,Y,Y,Y,Low,Low,Low,Low
C011,Y,Y,Y,Y,Medium,Medium,Medium,Medium
C012,Y,Y,Y,Y,Medium,Medium,Medium,Medium
C013,Y,Y,Y,Y,Medium,Medium,Medium,Medium
C014,Y,Y,Y,Y,Medium,High,High,High
C015,Y,Y,Y,Y,Low,Medium,Medium,Medium
C016,Y,Y,Y,Y,High,High,Medium,Medium
C017,Y,Y,Y,Y,Medium,High,Medium,Low
C018,Y,Y,Y,Y,Medium,High,Medium,Low
C019,Y,Y,Y,Y,High,High,Medium,Medium
C020,Y,Y,Y,Y,Medium,Low,Medium,Medium
C021,Y,Y,Y,Y,High,High,Medium,Medium
C022,Y,Y,Y,Y,High,High,High,Medium
C023,Y,Y,Y,Y,High,High,High,Medium
C024,Y,Y,Y,Y,High,High,Medium,Medium
C025,Y,Y,Y,Y,Medium,High,Medium,Medium
C026,Y,Y,Y,Y,High,High,Medium,Medium
C027,Y,Y,Y,Y,High,High,Medium,Medium
C028,Y,Y,Y,Y,Medium,High,Medium,Medium
C029,Y,Y,Y,Y,Medium,High,Medium,Medium
C030,Y,Y,Y,Y,Low,High,Medium,Low
